date,wpm,raw,accuracy,consistency,test_duration,notes

2026-06-14, 39, 45, 91.59, 64.93, 60, Eroju Day ONE!
2026-06-15, 37, 45, 90.87, 63.07, 60,
2026-06-16, 41, 42, 90.56, 68.43, 60,
